cham,teamA,teamB,time,Result
الدوري الإفريقي لكرة القدم, مازيمبي,الترجى الرياضي ,16:00,22 أكتوبر 2023-16:00
الدوري الفرنسي, نانت,مونبيليه ,16:00,22 أكتوبر 2023-16:00
الدوري الإيطالي, ميلان,يوفنتوس ,21:45,22 أكتوبر 2023-21:45
الدوري الألماني, هايدنهايم,أوجسبورج ,18:30,22 أكتوبر 2023-18:30
الدوري الإفريقي لكرة القدم, أنيمبــــا,الوداد البيضاوي ,21:00,22 أكتوبر 2023-21:00
الدوري الفرنسي, لوريان,رين ,14:00,22 أكتوبر 2023-14:00
الدوري الألماني, كولن,مونشنجلادباخ ,16:30,22 أكتوبر 2023-16:30
الدوري الإيطالي, ساليرنيتانا,كالياري ,16:00,22 أكتوبر 2023-16:00
دوري القسم الثاني-أ, حرس الحدود,أسوان ,16:00,22 أكتوبر 2023-16:00
الدوري الإيطالي, بولونيا,فروزينوني ,16:00,22 أكتوبر 2023-16:00
الدوري الإسباني, برشلونة ,اتليتك بلباو ,22:00,22 أكتوبر 2023-22:00
الدوري الإيطالي, روما,مونزا ,13:30,22 أكتوبر 2023-13:30
الدوري الإسباني, فياريال,ألافيس ,19:30,22 أكتوبر 2023-19:30
الدوري التونسي, النجم الساحلى ,سليمان الرياضي ,16:30,22 أكتوبر 2023-16:30
الدوري الإسباني, جيرونا,الميريا ,17:15,22 أكتوبر 2023-17:15
الدوري التونسي, مستقبل المرسى,النجم الرياضي بالمتلوي ,16:30,22 أكتوبر 2023-16:30
الدوري التونسي, الافريقي التونسي,الأولمبي الباجي ,16:30,22 أكتوبر 2023-16:30
الدوري الإيطالي, أتالانتا,جنوى ,19:00,22 أكتوبر 2023-19:00
الدوري التركي, فنربخشة,هاتاي سبور ,19:00,22 أكتوبر 2023-19:00
الدوري التركي, إسطنبول سبور,أنقرة جوتشو ,16:00,22 أكتوبر 2023-16:00
الدوري التركي, سيفاسبور,قاسم باشا ,13:30,22 أكتوبر 2023-13:30
الدوري الفرنسي, ليون,كليرمونت  ,21:45,22 أكتوبر 2023-21:45
الدوري التركي, سامسون سبور,إسطنبول باشاكشهير ,19:00,22 أكتوبر 2023-19:00
الدوري الفرنسي, موناكو,ميتز ,18:05,22 أكتوبر 2023-18:05
الدوري الفرنسي, تولوز,ريمس ,16:00,22 أكتوبر 2023-16:00
الدوري الفرنسي, ليل,بريست ,16:00,22 أكتوبر 2023-16:00
الدوري الإنجليزي, استون فيلا  ,وست هام يونايتد ,18:30,22 أكتوبر 2023-18:30
الدوري الإسباني, لاس بالماس,رايو فاييكانو ,15:00,22 أكتوبر 2023-15:00
الدوري المصري, مودرن فيوتشر,بيراميدز ,19:00,22 أكتوبر 2023-19:00
الدوري المصري, المقاولون العرب,زد ,16:00,22 أكتوبر 2023-16:00
الدوري المصري, الإسماعيلي,فاركو ,19:00,22 أكتوبر 2023-19:00
الدوري السعودي, الرياض,الاتفـــــاق ,18:00,22 أكتوبر 2023-18:00
